,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other
other_6235,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,9.98
other_6236,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,9.99
other_6237,0.00,0.01,0.42,0.00,0.00,4.31,0.10,0.00,0.00,0.21,4.95
other_6238,0.00,0.13,0.45,0.00,0.00,1.40,0.21,0.01,0.03,0.05,7.71
other_6239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6240,0.00,0.04,0.00,0.00,0.00,2.93,0.00,0.00,0.00,1.24,5.79
other_6241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,9.67
other_6242,0.00,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,9.94
other_6243,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.98
other_6244,0.00,0.00,1.20,0.00,0.00,2.15,0.10,0.00,0.00,0.09,6.46
other_6245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_6246,0.28,0.00,0.00,0.00,0.00,3.96,0.00,0.00,0.00,0.00,5.76
other_6247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.58,4.42
other_6248,1.16,0.00,0.29,0.00,0.00,1.29,0.00,0.21,0.00,0.07,6.97
other_6249,0.00,0.00,0.04,0.01,0.09,0.00,1.40,0.00,0.03,0.02,8.40
other_6250,0.00,0.00,0.00,0.00,0.07,0.00,5.69,0.00,0.22,0.00,4.01
other_6251,0.05,0.01,1.10,0.02,0.49,0.00,4.60,0.00,1.14,0.00,2.58
other_6252,0.00,0.00,0.01,0.00,0.02,0.00,6.24,0.00,0.13,0.00,3.60
other_6253,1.24,0.02,1.46,0.01,4.02,0.00,0.39,0.04,0.30,0.00,2.52
other_6254,1.40,0.00,2.87,0.10,1.38,0.00,0.24,0.00,0.05,0.01,3.97
other_6255,0.00,0.00,1.25,0.00,0.00,0.00,0.01,0.00,0.00,0.00,8.73
other_6256,0.00,0.00,0.16,0.88,0.01,0.00,0.02,0.00,0.00,0.02,8.91
other_6257,0.00,0.00,0.00,0.00,0.02,0.00,6.13,0.00,0.18,0.00,3.66
other_6258,0.00,0.00,0.09,0.00,0.03,0.00,6.41,0.00,0.05,0.00,3.43
other_6259,0.00,0.00,0.01,0.00,0.02,0.00,6.52,0.00,0.04,0.00,3.40
other_6260,0.00,0.00,0.01,0.00,0.13,0.00,7.51,0.00,0.02,0.00,2.33
other_6261,0.00,0.01,0.96,0.00,0.02,0.00,4.50,0.00,0.03,0.00,4.48
other_6262,1.33,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.01,8.00
other_6263,6.17,0.00,0.00,0.02,0.00,1.36,0.02,0.50,0.00,0.01,1.92
other_6264,5.29,0.00,0.00,0.01,0.00,1.72,0.03,0.50,0.00,0.03,2.41
other_6265,6.51,0.00,0.00,0.00,0.00,0.82,0.03,0.71,0.00,0.00,1.91
other_6266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.98
other_6268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,7.41
other_6269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,9.98
other_6270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_6272,0.00,0.01,0.01,0.01,0.01,1.25,0.02,0.00,0.01,0.09,8.59
other_6273,7.04,0.00,0.00,0.01,0.00,0.99,0.00,0.00,0.00,0.00,1.95
other_6274,0.08,0.01,0.00,0.03,0.51,0.01,0.14,0.05,0.01,0.32,8.84
other_6275,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6276,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6278,0.68,0.00,0.06,0.00,0.01,1.80,0.02,0.00,0.00,0.00,7.42
other_6279,0.00,0.01,0.01,0.00,0.00,0.05,0.01,0.00,0.00,0.26,9.67
other_6280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,9.95
other_6281,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6282,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,3.94,6.00
other_6283,0.22,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.70,7.08
other_6284,0.30,0.24,0.02,0.01,0.00,2.98,0.03,0.00,0.00,0.07,6.35
other_6285,0.00,0.00,0.05,0.01,0.00,0.00,0.01,0.00,0.00,2.51,7.42
other_6286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_6287,0.13,0.14,0.06,0.00,0.00,0.51,0.00,0.00,0.00,0.04,9.10
other_6288,0.01,0.01,0.00,0.01,0.97,0.01,0.02,0.00,0.00,0.25,8.72
other_6289,0.00,0.00,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.02,9.92
other_6290,0.31,0.06,0.01,0.00,0.00,1.30,0.00,0.00,0.00,0.00,8.31
other_6291,0.00,1.44,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,8.49
other_6292,0.01,0.00,1.83,0.00,0.40,0.00,0.01,0.00,0.00,0.78,6.97
other_6293,0.29,0.00,0.95,0.00,0.00,0.00,0.01,0.00,0.00,0.05,8.69
other_6294,0.29,0.00,0.66,0.00,0.01,0.00,0.01,0.00,0.00,0.03,9.00
other_6295,0.00,0.01,4.03,0.00,0.00,0.00,0.00,0.00,0.00,1.73,4.23
other_6296,0.63,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,8.29
other_6297,0.00,0.02,2.65,0.00,0.00,0.01,0.02,0.00,0.00,0.25,7.05
other_6298,0.09,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.05,8.56
other_6299,0.00,0.00,1.84,0.00,0.01,0.00,0.00,0.00,0.00,0.97,7.18
other_6300,0.04,0.00,1.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,8.92
other_6301,0.00,0.04,0.01,0.00,0.00,0.25,0.00,0.00,0.00,0.17,9.52
other_6302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,9.95
other_6303,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,9.89
other_6304,0.01,0.00,0.00,0.00,0.00,0.00,9.98,0.00,0.00,0.00,0.00
other_6305,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,4.90,4.67
other_6306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6307,0.00,0.00,3.26,1.33,4.58,0.00,0.80,0.00,0.00,0.00,0.02
other_6308,0.00,0.00,2.17,0.01,6.47,0.00,1.34,0.00,0.00,0.00,0.01
other_6309,0.00,0.00,1.84,0.29,5.51,0.00,2.34,0.00,0.01,0.01,0.02
other_6310,0.00,0.00,0.58,0.19,5.59,0.00,3.64,0.00,0.00,0.00,0.00
other_6311,0.00,0.00,2.82,0.02,5.90,0.00,1.25,0.00,0.00,0.01,0.01
other_6312,0.00,0.00,0.44,0.22,5.48,0.00,3.86,0.00,0.00,0.00,0.00
other_6313,0.00,0.00,2.66,0.02,6.01,0.00,1.29,0.00,0.00,0.01,0.01
other_6314,0.00,0.09,0.00,0.45,0.54,0.11,0.15,0.00,0.01,0.03,8.61
other_6315,0.03,0.05,0.56,0.25,0.21,0.08,0.06,0.00,0.00,0.01,8.74
other_6316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6317,0.00,0.59,1.87,0.92,0.01,0.01,0.05,0.00,0.01,0.01,6.52
other_6318,0.34,0.01,0.08,0.88,0.12,0.07,0.09,0.00,0.01,0.53,7.86
other_6319,0.02,0.03,0.44,0.41,0.17,0.09,0.04,0.00,0.00,0.01,8.79
other_6320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6321,0.00,0.04,0.00,0.07,0.50,0.02,0.07,0.00,0.01,0.01,9.27
other_6322,0.00,0.08,1.69,0.14,0.10,0.03,0.03,0.00,0.00,0.00,7.91
other_6323,0.04,0.05,1.04,0.30,0.15,0.08,0.05,0.00,0.00,0.01,8.28
other_6324,8.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.18
other_6325,3.16,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,3.07,3.76
other_6326,0.00,0.06,0.16,0.01,0.15,0.00,0.06,0.00,0.19,0.01,9.36
other_6327,0.00,0.01,0.00,0.00,0.13,0.00,0.05,0.00,0.00,0.01,9.79
other_6328,0.00,0.00,0.01,0.00,0.76,1.09,0.04,0.00,0.00,0.19,7.91
other_6329,0.00,0.00,0.00,0.00,0.02,0.01,0.06,0.01,0.00,0.77,9.13
other_6330,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,2.29,7.67
other_6331,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.96,8.96
other_6332,0.00,0.04,0.02,0.02,0.02,0.20,0.06,0.17,0.03,0.88,8.56
other_6333,0.00,0.02,0.01,0.00,0.11,0.01,0.07,0.00,0.01,1.26,8.51
other_6334,0.02,0.01,0.02,0.00,0.01,0.03,0.18,0.04,0.04,0.98,8.68
other_6335,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,1.09,8.86
other_6336,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,1.21,8.74
other_6337,0.02,0.00,0.13,0.01,0.01,0.02,0.11,0.64,0.00,0.61,8.47
other_6338,4.75,0.00,0.34,0.87,0.80,0.00,0.93,1.42,0.00,0.00,0.89
other_6339,6.41,0.00,0.02,0.01,0.02,0.00,0.14,2.62,0.00,0.00,0.79
other_6340,5.92,0.00,0.00,0.00,0.02,0.00,0.02,3.64,0.00,0.00,0.39
other_6341,5.76,0.00,0.00,0.00,0.05,0.01,0.04,3.20,0.00,0.00,0.94
other_6342,7.36,0.00,0.01,0.01,0.06,0.00,0.04,1.96,0.00,0.00,0.56
other_6343,9.04,0.00,0.19,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.76
other_6344,5.64,0.00,0.10,0.02,0.22,0.00,0.24,3.30,0.00,0.00,0.48
other_6345,5.18,0.00,0.16,0.13,1.07,0.00,1.34,1.31,0.00,0.00,0.80
other_6346,7.85,0.00,0.24,0.04,0.96,0.00,0.35,0.02,0.00,0.00,0.53
other_6347,4.77,0.00,1.29,0.10,0.59,0.01,1.09,1.26,0.00,0.00,0.89
other_6348,5.22,0.00,1.26,0.12,0.03,0.03,0.23,1.81,0.00,0.00,1.30
other_6349,9.35,0.00,0.12,0.01,0.02,0.00,0.29,0.11,0.00,0.00,0.09
other_6350,4.06,0.00,0.53,0.02,0.59,0.00,1.24,2.69,0.00,0.01,0.87
other_6351,4.58,0.00,0.36,0.87,0.88,0.00,0.89,1.48,0.00,0.00,0.93
other_6352,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.08,0.00,0.01,9.78
other_6353,0.94,0.00,0.56,0.29,4.52,0.00,2.32,0.78,0.01,0.01,0.56
other_6354,3.36,0.00,1.46,0.04,0.77,0.02,1.52,1.33,0.00,0.01,1.49
other_6355,9.74,0.00,0.08,0.01,0.00,0.00,0.00,0.16,0.00,0.00,0.01
other_6356,9.78,0.00,0.05,0.01,0.00,0.00,0.00,0.15,0.00,0.00,0.01
other_6357,0.29,0.00,3.70,0.06,0.82,0.00,1.61,1.90,0.00,0.00,1.60
other_6358,0.19,0.00,3.91,0.06,0.85,0.00,1.72,1.73,0.00,0.00,1.53
other_6359,1.93,0.00,1.52,0.08,1.23,0.01,2.92,0.70,0.00,0.01,1.60
other_6360,0.30,0.00,3.71,0.06,0.70,0.00,1.67,1.89,0.00,0.00,1.66
other_6361,9.95,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00
other_6362,0.30,0.00,4.33,0.04,0.80,0.00,1.66,1.45,0.00,0.00,1.41
other_6363,4.38,0.00,0.48,0.04,1.78,0.02,1.43,0.80,0.00,0.01,1.06
other_6364,9.43,0.00,0.14,0.02,0.01,0.00,0.23,0.11,0.00,0.00,0.04
other_6365,7.44,0.00,0.08,0.21,0.08,0.01,0.39,1.10,0.00,0.00,0.69
other_6366,7.67,0.00,0.06,0.22,0.07,0.00,0.34,1.11,0.00,0.00,0.53
other_6367,7.63,0.00,0.06,0.20,0.09,0.00,0.37,1.11,0.00,0.00,0.55
other_6368,4.88,0.00,0.20,0.12,1.41,0.00,1.36,1.24,0.00,0.00,0.78
other_6369,5.26,0.00,0.14,0.10,0.95,0.00,1.42,1.30,0.00,0.00,0.83
other_6370,4.77,0.00,0.17,0.09,1.33,0.00,1.78,0.98,0.00,0.00,0.88
other_6371,4.67,0.00,0.20,0.12,1.39,0.00,1.77,0.98,0.00,0.00,0.85
other_6372,5.18,0.00,0.18,0.16,1.06,0.00,1.46,1.14,0.00,0.00,0.81
other_6373,5.22,0.00,0.23,0.11,1.19,0.00,1.51,0.97,0.00,0.00,0.76
other_6374,5.24,0.00,0.14,0.11,1.05,0.00,1.36,1.25,0.00,0.00,0.85
other_6375,4.59,0.00,0.17,0.11,1.43,0.00,1.76,1.04,0.00,0.00,0.90
other_6376,4.64,0.00,1.35,0.10,0.56,0.02,1.12,1.31,0.00,0.00,0.89
other_6377,8.06,0.00,0.03,0.00,0.23,0.00,0.16,1.08,0.00,0.00,0.42
other_6378,6.25,0.00,0.08,0.01,0.15,0.00,0.05,2.74,0.00,0.00,0.72
other_6379,6.68,0.00,0.07,0.01,0.29,0.00,0.31,2.29,0.00,0.00,0.35
other_6380,6.33,0.00,0.06,0.01,0.33,0.00,0.31,2.56,0.00,0.00,0.40
other_6381,6.74,0.00,0.09,0.01,0.10,0.00,0.05,2.32,0.00,0.00,0.68
other_6382,7.74,0.00,0.04,0.01,0.26,0.00,0.21,1.33,0.00,0.00,0.41
other_6383,7.13,0.00,0.09,0.01,0.14,0.00,0.08,1.77,0.00,0.00,0.76
other_6384,5.17,0.00,0.10,0.02,0.25,0.00,0.23,3.69,0.00,0.00,0.53
other_6385,5.78,0.00,0.08,0.01,0.22,0.00,0.08,3.42,0.00,0.00,0.40
other_6386,5.30,0.00,0.14,0.03,0.25,0.00,0.24,3.40,0.00,0.00,0.64
other_6387,6.23,0.00,0.09,0.02,0.33,0.00,0.31,2.37,0.00,0.00,0.65
other_6388,5.71,0.00,0.08,0.01,0.31,0.00,0.09,3.11,0.00,0.00,0.68
other_6389,6.56,0.00,0.07,0.01,0.28,0.00,0.28,2.25,0.00,0.00,0.55
other_6390,6.72,0.00,0.13,0.01,0.35,0.00,0.13,2.01,0.00,0.00,0.65
other_6391,6.29,0.00,0.13,0.01,0.48,0.00,0.14,2.32,0.00,0.00,0.62
other_6392,0.13,0.00,0.00,1.01,0.01,0.00,0.00,0.01,0.00,0.15,8.70
other_6393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6394,3.76,0.00,0.08,0.09,2.36,0.02,0.33,2.50,0.00,0.06,0.79
other_6395,0.04,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.96
other_6396,4.00,0.00,0.53,0.01,0.53,0.01,1.21,2.97,0.00,0.00,0.74
other_6397,0.12,0.00,0.98,0.06,3.62,0.01,4.50,0.17,0.00,0.01,0.53
other_6398,0.70,0.00,0.50,0.12,1.96,0.01,6.14,0.00,0.01,0.01,0.55
other_6399,0.91,0.00,0.41,0.20,2.53,0.02,5.30,0.00,0.01,0.01,0.60
other_6400,2.71,0.00,0.61,0.03,3.83,0.00,1.72,0.04,0.03,0.13,0.90
other_6401,2.99,0.00,0.56,0.02,2.96,0.01,2.32,0.05,0.02,0.12,0.95
other_6402,0.57,0.00,0.59,0.08,1.98,0.01,6.23,0.00,0.01,0.01,0.53
other_6403,0.62,0.00,0.48,0.31,2.50,0.01,5.53,0.00,0.01,0.01,0.54
other_6404,0.59,0.00,1.24,0.02,3.27,0.01,3.31,0.29,0.00,0.01,1.24
other_6405,0.60,0.00,0.50,0.06,2.65,0.01,5.71,0.00,0.01,0.00,0.47
other_6406,0.33,0.00,1.29,0.06,3.50,0.01,3.97,0.15,0.00,0.01,0.68
other_6407,0.64,0.00,0.60,0.10,2.17,0.01,6.07,0.00,0.01,0.00,0.40
other_6408,0.22,0.00,1.16,0.06,2.79,0.01,4.54,0.30,0.00,0.01,0.92
other_6409,0.68,0.00,0.50,0.12,1.94,0.01,6.19,0.00,0.01,0.01,0.55
other_6410,0.74,0.00,0.46,0.13,1.97,0.01,6.13,0.00,0.01,0.01,0.55
other_6411,0.69,0.00,0.39,0.09,2.92,0.01,5.36,0.00,0.00,0.01,0.52
other_6412,0.82,0.00,0.61,0.12,2.86,0.01,5.13,0.01,0.01,0.01,0.44
other_6413,0.42,0.00,1.48,0.10,3.09,0.01,3.90,0.11,0.00,0.01,0.89
other_6414,0.23,0.00,1.12,0.06,2.67,0.01,4.77,0.26,0.00,0.01,0.87
other_6415,1.06,0.00,0.88,0.03,4.23,0.02,3.00,0.05,0.00,0.02,0.71
other_6416,0.15,0.00,1.35,0.03,3.11,0.01,4.21,0.38,0.00,0.01,0.76
other_6417,0.51,0.00,0.52,0.01,4.04,0.02,4.14,0.09,0.00,0.01,0.66
other_6418,0.36,0.00,1.05,0.19,3.63,0.03,2.81,0.86,0.00,0.02,1.04
other_6419,0.93,0.00,0.70,0.13,3.23,0.01,2.00,1.53,0.00,0.02,1.44
other_6420,0.37,0.00,1.16,0.17,4.69,0.01,2.62,0.22,0.00,0.02,0.74
other_6421,0.38,0.00,1.18,0.04,4.42,0.00,3.13,0.16,0.00,0.01,0.67
other_6422,0.61,0.00,0.56,0.01,3.78,0.01,4.27,0.05,0.00,0.01,0.69
other_6423,0.60,0.00,1.05,0.14,3.23,0.01,1.89,1.37,0.00,0.01,1.70
other_6424,0.10,0.00,0.98,0.01,5.12,0.00,2.38,1.23,0.00,0.00,0.18
other_6425,1.17,0.00,0.79,2.40,2.04,0.01,2.22,0.00,0.00,0.04,1.32
other_6426,0.15,0.00,0.76,0.02,3.93,0.00,4.87,0.09,0.00,0.00,0.18
other_6427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6428,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,9.26
other_6429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.18,4.82
other_6430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6431,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,8.23
other_6433,0.00,0.00,0.00,0.02,0.01,0.00,0.02,0.00,0.01,0.00,9.94
other_6434,4.83,0.00,0.01,0.01,0.00,0.08,0.03,0.00,0.00,0.00,5.03
other_6435,0.00,0.00,0.32,0.07,0.05,0.00,2.06,0.00,0.00,0.00,7.49
other_6436,0.01,0.01,0.00,0.00,0.00,0.02,0.24,0.00,0.05,1.48,8.17
other_6437,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.31
other_6438,1.05,0.00,0.00,0.00,0.00,3.05,0.00,0.00,0.00,1.31,4.59
other_6439,1.07,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,1.97,6.90
other_6440,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,6.95
other_6441,4.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81
other_6442,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.79
other_6443,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.65,9.33
other_6444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.99
other_6445,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.18,9.77
other_6446,0.00,0.00,0.03,0.06,0.00,0.01,0.00,0.00,0.00,0.10,9.79
other_6447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,9.97
other_6448,2.32,0.57,0.06,0.00,0.01,0.06,0.03,0.00,0.08,0.00,6.86
other_6449,3.37,0.45,0.05,0.00,0.00,0.14,0.14,0.00,0.19,0.00,5.66
other_6450,0.04,0.00,0.01,0.34,0.01,1.37,0.01,0.00,0.00,0.01,8.21
other_6451,0.33,0.14,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.01,9.40
other_6452,0.00,0.00,0.00,0.04,0.08,0.00,0.02,0.01,0.00,0.92,8.93
other_6453,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6454,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6455,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6458,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6459,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6461,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_6462,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,9.98
other_6463,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6464,0.00,0.02,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.00,9.91
other_6465,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.97
other_6466,0.00,0.02,0.00,0.00,0.01,0.00,0.07,0.00,0.03,0.00,9.87
other_6467,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.97
other_6468,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.98
other_6469,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.01,0.00,9.92
other_6470,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.99
other_6471,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.01,9.96
other_6472,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,9.93
other_6473,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6474,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,9.97
other_6475,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.98
other_6476,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.98
other_6477,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,9.95
other_6478,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.01,9.90
other_6479,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.14,9.84
other_6480,0.02,0.09,0.00,0.02,0.00,0.57,0.02,0.00,0.01,0.00,9.27
other_6481,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.97
other_6482,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.14,9.71
other_6483,0.88,0.01,0.00,0.21,0.00,0.01,0.00,0.00,0.00,0.00,8.89
other_6484,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,9.98
other_6485,0.03,0.00,0.01,0.04,0.00,0.12,0.01,0.00,0.00,0.00,9.78
other_6486,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,9.97
other_6487,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,9.97
other_6488,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,9.96
other_6489,0.00,0.01,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.01,9.94
other_6490,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,9.95
other_6491,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,2.05,7.10
other_6492,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.22,8.76
other_6493,0.00,0.02,0.00,0.00,0.00,0.22,0.01,0.00,0.00,0.19,9.55
other_6494,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,2.04,7.80
other_6495,0.01,0.05,0.00,0.00,0.00,0.01,0.12,0.00,0.00,2.85,6.96
other_6496,0.00,0.01,0.00,0.00,0.00,0.07,0.01,0.00,0.00,0.14,9.77
other_6497,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.43,9.40
other_6498,0.00,0.00,0.00,0.00,0.00,0.56,0.03,0.00,0.00,0.92,8.49
other_6499,0.01,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,1.29,8.65
other_6500,0.03,0.03,0.00,0.00,0.00,0.08,0.10,0.00,0.00,1.73,8.04
other_6501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,9.86
other_6502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.97
other_6503,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,9.52
other_6504,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,4.41,5.50
other_6505,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.77,6.23
other_6506,0.00,0.00,0.04,0.00,0.09,0.00,0.09,0.00,0.00,1.07,8.71
other_6507,0.00,0.00,0.01,0.00,0.01,0.00,0.06,0.20,0.00,0.40,9.33
other_6508,0.00,0.00,0.02,0.00,0.05,0.00,0.02,0.00,0.00,2.10,7.80
other_6509,0.00,0.00,0.02,0.00,0.84,0.00,0.29,0.02,0.00,2.89,5.94
other_6510,0.00,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.00,2.73,7.22
other_6511,0.00,0.00,0.23,0.00,0.31,0.00,0.20,0.01,0.00,2.26,6.99
other_6512,0.01,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,4.28,5.64
other_6513,0.24,0.00,0.00,0.00,0.04,0.01,0.05,0.00,0.00,0.36,9.29
other_6514,0.20,0.00,0.00,0.00,0.01,0.01,0.07,0.00,0.00,0.78,8.92
other_6515,0.17,0.00,0.00,0.00,0.03,0.01,0.07,0.00,0.00,0.36,9.36
other_6516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6517,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_6518,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
